Tanggal;Harga
02/01/2018;122150
03/01/2018;126450
04/01/2018;107850
05/01/2018;121550
08/01/2018;121150
09/01/2018;126050
10/01/2018;119300
11/01/2018;119300
12/01/2018;126650
15/01/2018;119300
16/01/2018;119300
17/01/2018;119300
18/01/2018;119350
19/01/2018;119350
22/01/2018;126700
23/01/2018;126700
24/01/2018;126700
25/01/2018;127700
26/01/2018;126700
29/01/2018;127300
30/01/2018;120550
31/01/2018;118100
01/02/2018;105200
02/02/2018;119900
05/02/2018;119650
06/02/2018;105600
07/02/2018;119650
08/02/2018;117750
09/02/2018;125950
12/02/2018;111950
13/02/2018;126550
14/02/2018;119250
15/02/2018;121700
19/02/2018;126550
20/02/2018;119800
21/02/2018;126800
22/02/2018;126550
23/02/2018;126550
26/02/2018;119000
27/02/2018;121700
28/02/2018;126200
01/03/2018;125950
02/03/2018;125800
05/03/2018;125800
06/03/2018;125350
07/03/2018;125800
08/03/2018;126100
09/03/2018;127950
12/03/2018;127100
13/03/2018;127100
14/03/2018;127100
15/03/2018;123100
16/03/2018;121100
19/03/2018;127100
20/03/2018;127100
21/03/2018;127100
22/03/2018;123100
23/03/2018;127100
26/03/2018;127100
27/03/2018;126700
28/03/2018;127100
29/03/2018;126950
02/04/2018;127050
03/04/2018;127050
04/04/2018;123050
05/04/2018;127050
06/04/2018;113150
09/04/2018;127200
10/04/2018;127200
11/04/2018;127200
12/04/2018;127050
16/04/2018;121200
17/04/2018;121200
18/04/2018;127200
19/04/2018;123200
20/04/2018;126850
23/04/2018;126850
24/04/2018;127200
25/04/2018;127200
26/04/2018;127200
27/04/2018;121200
30/04/2018;127200
02/05/2018;121050
03/05/2018;126650
04/05/2018;127050
07/05/2018;127050
08/05/2018;127050
09/05/2018;129350
11/05/2018;127050
14/05/2018;118100
15/05/2018;124100
16/05/2018;130350
17/05/2018;129850
18/05/2018;129650
21/05/2018;128900
22/05/2018;129450
23/05/2018;129400
24/05/2018;129700
25/05/2018;129450
28/05/2018;130950
30/05/2018;130950
31/05/2018;130650
01/06/2018;130000
04/06/2018;130000
05/06/2018;114750
06/06/2018;127100
07/06/2018;127100
08/06/2018;128550
11/06/2018;130650
12/06/2018;131250
13/06/2018;133450
14/06/2018;123550
18/06/2018;128450
19/06/2018;131250
20/06/2018;127700
21/06/2018;126950
22/06/2018;127150
25/06/2018;128600
26/06/2018;127800
27/06/2018;130700
28/06/2018;127950
29/06/2018;127950
02/07/2018;129300
03/07/2018;129500
04/07/2018;129300
05/07/2018;128200
06/07/2018;128150
09/07/2018;127950
10/07/2018;129300
11/07/2018;129300
12/07/2018;122250
13/07/2018;113300
16/07/2018;129850
17/07/2018;122750
18/07/2018;129850
19/07/2018;128750
20/07/2018;102650
23/07/2018;115800
24/07/2018;128400
25/07/2018;128350
26/07/2018;114450
27/07/2018;128450
30/07/2018;128100
31/07/2018;112550
01/08/2018;127950
02/08/2018;119400
03/08/2018;128350
06/08/2018;127350
07/08/2018;120700
08/08/2018;128550
09/08/2018;128100
10/08/2018;126700
13/08/2018;127350
14/08/2018;127450
15/08/2018;128400
16/08/2018;126700
20/08/2018;128550
21/08/2018;130000
23/08/2018;127150
24/08/2018;126650
27/08/2018;126700
28/08/2018;126700
29/08/2018;126550
30/08/2018;126550
31/08/2018;126650
03/09/2018;127500
04/09/2018;127350
05/09/2018;128050
06/09/2018;128050
07/09/2018;127950
10/09/2018;127500
12/09/2018;127500
13/09/2018;127800
14/09/2018;114700
17/09/2018;127800
18/09/2018;127800
19/09/2018;115300
20/09/2018;127950
21/09/2018;128150
24/09/2018;121550
25/09/2018;128350
26/09/2018;127650
27/09/2018;127800
28/09/2018;128150
01/10/2018;128350
02/10/2018;127950
03/10/2018;115450
04/10/2018;127950
05/10/2018;128350
08/10/2018;128250
09/10/2018;128250
10/10/2018;128250
11/10/2018;128250
12/10/2018;128250
15/10/2018;128250
16/10/2018;128250
17/10/2018;128250
18/10/2018;128050
19/10/2018;128250
22/10/2018;128050
23/10/2018;128050
24/10/2018;128050
25/10/2018;128050
26/10/2018;128450
29/10/2018;128200
30/10/2018;128200
31/10/2018;128200
01/11/2018;122500
02/11/2018;128600
05/11/2018;128600
06/11/2018;124300
07/11/2018;128600
08/11/2018;124300
09/11/2018;122100
12/11/2018;128750
13/11/2018;122500
14/11/2018;128600
15/11/2018;128600
16/11/2018;128600
19/11/2018;128750
21/11/2018;129200
22/11/2018;128450
23/11/2018;128450
26/11/2018;128600
27/11/2018;128600
28/11/2018;128600
29/11/2018;128600
30/11/2018;115600
03/12/2018;128600
04/12/2018;129050
05/12/2018;128600
06/12/2018;128450
07/12/2018;128600
10/12/2018;128600
11/12/2018;128600
12/12/2018;128600
13/12/2018;128750
14/12/2018;128900
17/12/2018;128900
18/12/2018;129050
19/12/2018;128750
20/12/2018;129050
21/12/2018;130800
24/12/2018;128750
26/12/2018;130150
27/12/2018;130350
28/12/2018;117150
31/12/2018;130400
01/01/2019;125000
02/01/2019;129550
03/01/2019;129400
04/01/2019;129400
07/01/2019;129700
08/01/2019;129400
09/01/2019;129400
10/01/2019;124500
11/01/2019;129400
14/01/2019;113300
15/01/2019;129400
16/01/2019;129400
17/01/2019;129400
18/01/2019;128650
21/01/2019;128550
22/01/2019;128750
23/01/2019;128750
24/01/2019;127850
25/01/2019;127850
28/01/2019;114150
29/01/2019;129050
30/01/2019;128750
31/01/2019;128950
01/02/2019;129050
04/02/2019;129400
05/02/2019;128350
06/02/2019;129400
07/02/2019;129250
08/02/2019;129250
11/02/2019;129450
12/02/2019;129450
13/02/2019;129450
14/02/2019;129200
15/02/2019;129200
18/02/2019;129200
19/02/2019;129150
20/02/2019;124350
21/02/2019;129150
22/02/2019;129150
25/02/2019;129050
26/02/2019;129150
27/02/2019;129050
28/02/2019;129050
01/03/2019;129150
04/03/2019;129050
05/03/2019;129000
06/03/2019;129150
07/03/2019;128750
08/03/2019;122650
11/03/2019;129600
12/03/2019;130200
13/03/2019;129550
14/03/2019;129050
15/03/2019;129150
18/03/2019;129300
19/03/2019;129300
20/03/2019;129400
21/03/2019;129400
22/03/2019;116400
25/03/2019;129300
26/03/2019;129250
27/03/2019;129300
28/03/2019;129400
29/03/2019;129400
01/04/2019;129200
02/04/2019;129300
03/04/2019;130000
04/04/2019;129200
05/04/2019;129800
08/04/2019;129300
09/04/2019;129750
10/04/2019;129800
11/04/2019;129800
12/04/2019;129700
15/04/2019;129700
16/04/2019;129050
17/04/2019;128150
18/04/2019;129150
19/04/2019;128350
22/04/2019;129850
23/04/2019;130550
24/04/2019;130550
25/04/2019;130650
26/04/2019;131250
29/04/2019;115400
30/04/2019;130000
01/05/2019;128250
02/05/2019;123900
